Unnamed: 0,Unnamed: 0.1,French,English
0,0,partie,part
2,2,chercher,search
3,3,seulement,only
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
12,12,mettre,to put
13,13,aucun,no
16,16,ville,city
18,20,devrait,should
19,21,bébé,baby
20,22,longtemps,long time
22,24,pendant,while
24,26,aucune,any
25,27,place,square
26,28,parle,speak
27,29,compris,understood
28,30,savais,knew
29,31,étaient,were
30,32,attention,Warning
31,33,voici,here is
32,34,pourrais,could
33,35,affaire,case
34,36,donner,give
35,37,type,type
36,38,leurs,their
37,39,train,train
38,40,corps,body
39,41,endroit,place
40,42,yeux,eyes
41,43,façon,way
42,44,écoute,listen
43,45,dont,whose
44,46,trouve,find
46,48,perdu,lost
47,49,main,hand
49,51,côté,side
50,52,pouvoir,power
51,53,vieux,old
52,54,sois,be
53,55,tiens,here
54,56,matin,morning
55,57,tellement,so much
56,58,enfant,child
57,59,point,point
58,60,venu,came
59,61,suite,after
62,65,vers,towards
63,67,demandé,request
64,68,chambre,bedroom
65,69,mis,placed
66,70,belle,beautiful
67,71,droit,law
68,72,aimerais,would like to
69,73,aujourd'hui,today
70,74,mari,husband
72,76,enfin,finally
74,78,eau,water
75,79,attendez,Wait
76,80,parti,left
77,81,nouvelle,new
78,82,boulot,job
79,83,arrêter,Stop
80,84,dirait,would say
81,85,terre,Earth
82,86,compte,account
83,87,donne,given
84,89,fin,end
85,90,croire,believe
86,91,chérie,sweetheart
87,92,gros,large
89,95,filles,girls
90,96,jouer,to play
91,97,bureau,office
